               EP2        ATT        CMK         WMK        STE
   1        407400          0     175000           0          0
   2         20000     620000          0           0          0
   3        515000      88000          0           0          0
   4        454000          0     176000           0          0
   5        110000     240000     110000           0          0
   6        501800     121450          0           0          0
   7        167100          0      86400      226500          0
   8        277100     349055     134000           0          0
   9        351715     836471     100125           0          0
   10       510000     225000          0           0          0
   11       253450    1112550     157000           0          0
   12       274500      27000          0           0          0
   13       561607     299712          0           0          0
   14      1600000          0          0           0          0
   15       699000     308800          0           0          0
   16       401540     331405          0           0          0
   17       416300     164563          0           0          0
   18       215688     446320     227120      295520          0
   19       400000     600000     200000           0          0
   20       339500      53000     364000           0          0
   21       599946      74030          0           0          0
   22            0      69960     643565           0          0
   23       115000          0     436000           0          0
   24            0          0     510871           0          0
   25       204800     157000          0           0          0
   26       109900     470004          0           0          0
   27       505771          0     646527           0          0
   28       141000     618100          0           0          0
   29       426340     154032      20000           0          0
   30       400000    1100000          0           0          0
   31       111900     518629          0           0          0
   32            0          0     572606           0          0
   33      1360000          0          0           0          0
   34      1013030     397000          0           0          0
   35       574347     293242          0           0     212582
   36       191000    1249000          0           0          0
   37       290655     976107          0           0          0
   38       178560          0     369050           0          0
   39            0     636896          0           0          0
   40       399020     293873          0           0          0
   41       287300     125650          0           0          0
   42       974340     463950          0           0          0
   43       715134      69204          0           0          0
   44       357918      97750    1213325           0          0
   45       620000     707400     133400           0          0
   46       157006    1116555          0           0          0
   47       301092     221949          0           0          0
   48            0     614000          0           0          0
   49        74000     285400          0       78550          0
   50       126500     941550          0           0          0
   51            0    1600000          0           0          0
   52        97000      70000     547900       49500          0
   53            0     219002     347200           0          0
   54            0     407932          0           0          0
   55       180000     248640     691000           0          0
   56       967500          0     370000           0     252606
   57       550525      63000     340000           0          0
   58       381303     453536          0           0          0
   59            0     415000     235000           0          0
   60       520000     120000          0           0          0
   61            0      88919     240881           0          0
   62      1131047          0      70000           0          0
   63       140000     600000          0           0      10000
   64       286000    1304500          0           0          0
   65       377164     622515     176431           0          0
   66       618529          0          0           0          0
   67       620000     860000          0           0          0
   68        47500    1091320     116580           0     215000
   69       102000     789560      52500           0          0
   70       192560     162150          0           0          0
   71       431435     227200          0           0          0
   72            0     684000     622439           0          0
   73       657606     261300          0           0          0
   74      1540533          0          0           0          0
   75       848580     281140          0           0     372900
   76            0      23920     627552           0          0
   77       340000     165000          0           0          0
   78       748200          0          0           0          0
   79            0     568000      60000           0          0
   80            0          0    1308060           0          0
   81       555220     356163      61502           0          0
   82       475000     253333     180000           0          0
   83            0     240000          0           0          0
   84            0      90035     300175           0          0
   85       214200     755824          0           0          0
   86            0          0     621000           0          0
   87            0     606311          0           0          0
   88            0     443800      39100           0          0
   89        80480     218552          0           0          0
   90            0     102840     485464           0          0
   91       677500     104500          0           0          0
   92            0    1500000          0           0          0
   93            0     350887      70000           0      30278
   94       135820      41183     237563           0          0
   95        50000          0     430000           0          0
   96        43800    1121050     111150           0          0
   97       193000     446947          0           0          0
   98       228788     114318     465181           0          0
   99       159900     479700          0           0          0
  100       401997          0          0           0          0
  101            0     467900     169900           0          0
  102            0     400200          0           0          0
  103       513200     758700          0           0          0
  104            0    1242000          0           0     272002
  105            0          0     411643           0          0
  106       700000     289350          0           0          0
  107       889870     725536          0      351860          0
  108            0     571187          0           0          0
  109       411500     668500     200000           0          0
  110       210238          0     935730           0          0
  111       180000     499800     300000           0          0
  112            0     592105          0           0     167658
  113       217240     352760          0           0          0
  114       429330     511405      65067           0          0
  115       463000          0          0       41250          0
  116       535905     383030     236811           0          0
  117            0     437000          0           0          0
  118        93714     211032      26096           0          0
  119            0     144390     378860           0          0
  120       280434     190570          0      129170          0
  121       282627     296183          0           0          0
  122            0     502901          0           0          0
  123       333070     185960          0           0          0
  124       430000     842000          0           0          0
  125       558200      97500     299500           0          0
  126            0     603111          0           0          0
  127       330000     509827          0           0          0
  128       353330     660438     500625           0          0
  129       486990     349010          0           0          0
  130            0     416068      52800           0          0
  131            0    1125498          0           0     291000
  132       393900     331733          0           0          0
  133       480000      80000      80000           0          0
  134        11920      80275     251372           0          0
  135       720000          0          0           0     240000
  136            0     639969          0           0          0
  137            0      50175     435600           0          0
  138       244500     600000          0           0          0
  139       174161     181751          0           0          0
  140            0     920125          0           0     374794
  141            0     605100          0           0      70900
  142       389050     582484     237288           0          0
  143       595000     976500          0           0          0
  144            0     834200     200000      178000          0
  145       651500          0          0           0          0
  146            0     446000          0           0          0
  147            0     483700     139200           0          0
  148            0     235455     394075           0          0
  149            0     902250          0           0          0
  150       641500     138250     155000           0          0
  151       117000     143643      72990      127800          0
  152            0     559250          0           0          0
  153       400000     600000          0           0          0
  154       350000     458000          0           0          0
  155            0     135000     625000           0          0
  156            0     104500     273125      232300          0
  157            0      22000    1535751           0          0
  158       111000     316010     172900           0          0
  159            0     670850     528550           0          0
  160            0     475000          0           0          0
  161      1130160          0          0           0          0
  162        70000     495250          0           0          0
  163       149833     246185          0       43448          0
  164            0     341566      98980           0          0
  165            0     420000     200000           0          0
  166            0     120000     465000           0          0
  167       245000     324000          0           0     118500
  168      1023793          0          0           0     198016
  169       150000     240000          0           0     250000
  170       680430     868800          0           0          0
  171            0     631300          0           0          0
  172            0          0     607882           0          0
  173       276720          0          0           0          0
  174       237300     131350      80000           0          0
  175       227728     281069          0           0          0
  176       103500     188924          0           0          0
  177            0     438050          0           0          0
  178       100000     562800          0           0          0
  179       134928     311100     171755           0          0
  180        81500     373487          0           0          0
  181       686800    1024750          0           0     409500
  182       441100     417965     721105           0          0
  183       170000     394800          0           0          0
  184            0     618375     204909           0          0
  185       150000     406100          0           0          0
  186            0     476100          0           0          0
  187       277799     198381          0           0          0
  188        50000     880258     288000           0          0
  189            0     283500     180100      307603          0
  190            0     564000          0           0          0
  191       495040     149820     312020           0          0
  192            0     562852          0           0          0
  193       191000     196000          0           0          0
  194       908400     520000          0           0          0
  195       198400          0     237200           0          0
  196       389000     282244     172063           0      98500
  197            0     436168          0           0          0
  198            0     155000     781800           0          0
  199            0     100392     491254      111000          0
  200            0     465560          0           0          0
  201        63840     568160          0           0          0
  202            0          0     649203           0          0
  203            0          0     367900           0          0
  204       380000     660000          0           0          0
  205       263800     455400     147200           0          0
  206       418250      47100          0           0          0
  207       140000     404183          0           0          0
  208        36973     118016     736340           0          0
  209       566500          0     308680           0     376728
  210       108500     313602     160000           0          0
