               1       2       3
   1         3.5     3.5     3.5
   2           4       4     3.5
   3         3.5       3     3.5
   4         3.5     3.5     3.5
   5           2       2     3.5
   6         3.5       3       3
   7         3.5       3     2.5
   8         3.5       3     3.5
   9           3       3     3.5
   10          3     3.5       3
   11          4     3.5       4
   12        3.2     3.2     3.5
   13        2.2     2.7     2.7
   14          0       0       0
   15        2.5       2       2
   16        3.5       3       3
   17          3     3.5     3.5
   18        3.5       3     3.5
   19        2.5     2.5     2.5
   20        3.5     3.5       4
   21        1.5       2       2
   22        3.5     3.5       3
   23        3.5       2       3
   24        3.6     3.6     3.3
   25        3.5     3.2       3
   26        3.5       3       3
   27          2       2     2.5
   28          3     2.5     2.5
   29        1.5     1.5       1
   30        3.3     2.8     2.6
   31          4       4       4
   32          3     3.5       2
   33          2     1.5       3
   34        3.5     2.5     2.5
   35        3.5       3       3
   36          3       3       3
   37        3.5       3     3.5
   38        3.5     2.5       3
   39          3       4       4
   40        3.5       3     3.5
   41        3.5     3.5       3
   42        3.5       4       4
   43        3.5       3       3
   44        3.5     3.5     3.5
   45          3       3       3
   46        3.5       3     3.5
   47          3       3       3
   48        2.5       2     2.5
   49        3.5     3.5     3.5
   50        3.5       2     2.5
   51          3       3       3
   52          4     3.5     3.5
   53          3       2       2
   54        2.5     1.5       3
   55          3     2.5       2
   56          3       2     1.5
   57          3       2       2
   58        2.5       3       3
   59        2.5     2.5       2
   60          2       2       2
   61          3       3       3
   62        3.6     2.9     2.9
   63        2.5       3     2.5
   64          3       2     1.5
   65        3.5     3.5     3.5
   66          4     2.1     2.6
   67        3.5       2       2
   68        3.5       3       3
   69        3.5       3       4
   70        3.5     3.5     3.5
   71          3     2.5     2.5
   72          2       2       2
   73          3       3     3.5
   74          2       1       1
   75          3     2.5       3
   76          3     2.5       3
   77        3.5       3       4
   78        2.9     2.9     3.2
   79        2.5     2.5     1.5
   80        2.5       2     2.5
   81          3     2.9     3.3
   82        3.5       4     3.5
   83          4     3.5       4
   84        3.5       4       4
   85          3     2.5       2
   86        2.5       3       3
   87        2.5     1.5     1.5
   88          3     3.5     3.5
   89          4       3     3.5
   90          2       2       2
   91        2.5     1.5     1.5
   92        2.5       2     1.5
   93        2.5       2       3
   94          3     2.5     2.5
   95        3.5       3       4
   96          4       4       4
   97          4     3.5       4
   98          4       4     3.5
   99          4     3.5       4
  100          4       3       3
  101        2.5     2.5       2
  102        3.5       3       2
  103        3.5       3     3.5
  104        3.5       3     2.5
  105        3.5       3       3
  106        3.4     3.3     3.8
  107        3.5     1.5     1.5
  108        3.4     2.6     2.3
  109        3.5     3.5     3.5
  110        3.5       4       4
  111          3       2     2.5
  112          3     2.5     2.5
  113        2.5       3       3
  114          3     3.5       3
  115        2.6     2.7     2.7
  116        3.5     3.5     3.5
  117        3.9       3     2.9
  118        2.5     1.5     1.5
  119          1     1.5       1
  120        2.9     2.7     3.2
  121          4       3     3.5
  122          3       4       3
  123          3       3     3.5
  124          3       3       4
  125          3       3       3
  126        3.5       3       3
  127        3.5       2       2
  128        3.5     3.5     3.5
  129          3     2.5     2.5
  130        3.5     3.5       4
  131        3.5     3.5     3.5
  132        2.5     2.5     2.5
  133          4       3     3.5
  134        2.5       2     2.5
  135          3     3.5     3.5
  136        3.5       3     2.5
  137        3.5       4       3
  138        3.5       4     3.5
  139          3     2.5       4
  140          2       2       3
  141          4       4       4
  142          4     3.5     3.5
  143        3.5     3.5     3.5
  144        2.5       3       3
  145        3.5     3.5       3
  146          3       3       3
  147        3.5     3.5     3.5
  148          3     2.5       3
  149          3     3.2     2.6
  150        3.5     3.5       4
  151        2.5     2.5     2.5
  152          3       2       3
  153          4     3.5     3.5
  154        2.5       3     2.5
  155          1       2     3.5
  156        2.5       3     3.5
  157        3.5     2.5     3.5
  158        3.5       3     3.5
  159        3.2     2.9     2.8
  160          3       3     2.5
  161        1.5     1.5       3
  162          3       2       2
  163          4     2.5     2.5
  164          2       2       2
  165          3     1.5       2
  166        2.5       2       2
  167          3       3     3.5
  168          3       3     2.5
  169        3.5     2.5       3
  170        3.5       3       3
  171        3.5     2.5       3
  172          3     3.5     3.5
  173        3.5     2.5     2.5
  174        3.5     1.5       3
  175          2     2.5       2
  176          3     3.5     3.5
  177        3.5     3.5     3.5
  178          3     1.9     2.1
  179        2.5     2.5       2
  180          3       3       3
  181          3       3       3
  182          3     3.5     3.5
  183        3.4     3.4     3.5
  184        1.5       1       1
  185          3       2       2
  186          3     2.5     2.5
  187        3.5     3.5       3
  188          3       3     2.7
  189        2.5     2.5       2
  190          4     3.5     3.5
  191        3.5       4     3.5
  192        3.6     3.6     3.5
  193        1.5     1.5       1
  194        2.5     2.5     2.5
  195          1     1.5       1
  196        3.5     3.5     3.5
  197          2     1.5       2
  198          4     2.5       3
  199          3     2.5       3
  200        3.5       3       3
  201        2.5     0.5       1
  202          3       3     3.5
  203        1.5       2     1.5
  204          3     2.5       2
  205        2.5       2     1.5
  206        2.5     3.5       4
  207          4     3.5       4
  208        1.5     1.5     1.5
  209          3     2.5     3.5
  210        3.5       3     2.5
  211        3.5     3.5       4
  212          2       2     1.5
  213          3     2.5       2
  214        1.5       2     2.5
  215          1       2     1.5
  216        3.5       3       3
  217          3     2.5       3
  218        2.5     1.5     1.5
  219        3.5       3     3.5
  220        2.5     2.5     2.5
  221          3     2.5       3
  222          3     2.5       2
  223          4     3.5       4
  224        3.5       3       3
  225          3       3     3.5
  226          3     2.5     2.5
  227        2.5     3.5       3
  228        3.5    3.38    3.75
  229        2.5       2       2
  230          2       2       2
  231          2     2.5       2
  232          3       2       2
  233          4     3.5     3.5
  234          3     2.5       3
  235        2.5       2     2.5
  236          3       3       3
  237        3.5     3.5     3.5
  238        3.5       3     3.5
  239        2.5     2.5       2
  240        2.5       3     2.5
  241          3       2       2
  242        3.5       3     2.5
  243        2.5       3     2.5
  244        3.5     3.3     3.8
